ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
A-10,Completed,2023-08-24,Published,2024-02-02,Vermont,Addison County,Waltham,,Agricultural District,2023-08-22,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,10.0,Acres,100.0,Feet,25.0,Feet,25.0,Feet,,,20.0,Percent,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,20.0,Acres per 2-Family,0.1,Units per Acre,100.0,Feet,25.0,Feet,25.0,Feet,,,20.0,Percent,1.5,Spaces per Unit,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,10.0,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Minimum lot depth 150ft. Minimum PUD size 5 acres. There's a 2:1 density bonus for PUDs in this district outside of section 3 (west side of Maple Street; marked on town plan).,,,,,,,,,,,,,,,,,,,,0.1,400.0,400.0,,,,f,,t,t,
F-25,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Forest District,2023-08-22,,Yes,No,No,Nonresidential,No,No,Public Hearing,Prohibited,Prohibited,Prohibited,25.0,Acres,100.0,Feet,25.0,Feet,25.0,Feet,<1,Contextual,,,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,25.0,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Single-unit homes are allowed by right below 500ft of elevation and by conditional use review above 500ft of elevation. Maximum driveway slope 15%. Development must not disrupt viewshed, must have minimal impact on deer wintering, and must maximize forest block preservation. Minimum PUD lot size 50 acres. Lots must be deep enough to be usable; no 'spaghetti lots'.",,,,,,,,,,,,,,,,,,,,0.04,400.0,,,,,f,,t,t,
FHA,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Flood Hazard Overlay Area,2023-08-22,,No,No,Yes,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,This district consists of FEMA flood map zone A areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
HC-2.5,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Highway Commercial District,2023-08-22,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,2.5,Acres,140.0,Feet,75.0,Feet,75.0,Feet,15,Percent,20.0,Percent,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,140.0,Feet,75.0,Feet,75.0,Feet,15.0,Percent,20.0,Percent,1.5,Spaces per Unit,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,7.5,Acres per 3-Family,0.4,Units per Acre,140.0,Feet,75.0,Feet,75.0,Feet,15.0,Percent,20.0,Percent,1.3,Spaces per Unit,1.3,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,10.0,Acres per 4+-Family,0.4,Units per Acre,140.0,Feet,75.0,Feet,75.0,Feet,15.0,Percent,20.0,Percent,1.58,Spaces per Unit,1.58,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,2.5,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum lot frontage on Rt 7 400ft; on Plank Rd, South Middlebrook Rd 200ft. Minimum lot depth 275ft. Maximum building size 15,000 sf. Total building footprint maximum 50,000 or 15% lot coverage, whichever is less. Minimum PUD lot size 2.5 acres with architectural, siting, and landscaping requirements. In 4+ unit residences, 1 parking spot must be accessible.",f,f,12.5,0.4,140.0,75.0,75.0,15.0,20.0,1.53,1.53,f,f,,35.0,,,,,0.4,400.0,400.0,400.0,400.0,400.0,t,2.0,t,t,
HDR,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,High Density Residential District,2023-08-22,,No,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.5,Acres,30.0,Feet,15.0,Feet,30.0,Feet,,,30.0,Percent,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,30.0,Feet,15.0,Feet,30.0,Feet,,,30.0,Percent,1.5,Spaces per Unit,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,7.5,Acres per 3-Family,0.4,Units per Acre,30.0,Feet,15.0,Feet,30.0,Feet,,,30.0,Percent,1.3,Spaces per Unit,1.3,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,10.0,Acres per 4+-Family,0.4,Units per Acre,30.0,Feet,15.0,Feet,30.0,Feet,,,30.0,Percent,1.58,Spaces per Unit,1.58,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,2.5,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum yard setback 75ft. Minimum lot depth 100ft. This district is subject to a variety of architectural requirements. Density bonus of <=1 unit/0.25 acres for two+ unit housing in PUDs. PUDs must meet affordability requirements if > 3 units. Development is intended to grow with increased sewer & sidewalk infrastructure. In 4+ unit dwellings, at least 1 parking spot must be accessible.",f,f,12.5,0.4,30.0,15.0,30.0,,30.0,1.53,1.53,f,f,,35.0,,,,,0.4,100.0,100.0,100.0,100.0,100.0,f,,t,t,
HOA,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Habitat Overlay District,2023-08-22,,No,No,Yes,Primarily Residential,No,No,Overlay,Overlay,Overlay,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,This overlay layer does not prohibit any activity permitted in the base zoning district. It requires that developers submit a landscape plan and narrative explaining siting and clearing (both with minimal impacts on surrounding forest).,,,,,,,,,,,,,,,,,,,,,,,,,,f,,t,t,
MUN,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Municipal District,2023-08-22,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,This district is comprised of town hall property.,,,,,,,,,,,,,,,,,,,,,,,,,,f,,t,t,
R-2.5,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Medium Density Residential District,2023-08-22,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,2.5,Acres,50.0,Feet,25.0,Feet,25.0,Feet,20,Percent,,,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,50.0,Feet,25.0,Feet,25.0,Feet,10.0,Percent,,,1.5,Spaces per Unit,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,7.5,Acres per 3-Family,0.4,Units per Acre,50.0,Feet,40.0,Feet,40.0,Feet,20.0,Percent,,,1.3,Spaces per Unit,1.3,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,10.0,Acres per 4+-Family,0.4,Units per Acre,50.0,Feet,40.0,Feet,40.0,Feet,20.0,Percent,,,1.58,Spaces per Unit,1.58,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,2.5,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum lot depth 100 ft. In 4+ unit dwellings, at least 1 parking spot must be accessible.",f,f,12.5,0.4,50.0,40.0,40.0,20.0,,1.53,1.53,f,f,,35.0,,,,,0.4,200.0,200.0,200.0,200.0,200.0,f,,t,t,
R-5,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Waltham,,Low Density Residential District,2023-08-22,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,5.0,Acres,100.0,Feet,25.0,Feet,25.0,Feet,20,Percent,,,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,10.0,Acres per 2-Family,0.2,Units per Acre,100.0,Feet,25.0,Feet,25.0,Feet,20.0,Percent,,,1.5,Spaces per Unit,1.5,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,5.0,Acres,1.5,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Minimum PUD size 10 acres. Minimum lot depth 150ft.,,,,,,,,,,,,,,,,,,,,0.2,300.0,300.0,,,,f,,t,f,
