ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
FHA,Completed,2023-08-01,Published,2024-02-02,Vermont,Addison County,Panton,,Flood Hazard Area,2023-07-31,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,,,,,,,"In the town's geometry, this appears as a normal district, but the FHA regulations read like it's an overlay (there are no specific setback standards, all uses are conditional...). Not sure how to manage that here. GS

I think we should treat it the way it is treated by the zoning regulations. What you've done works. YB",,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC-1,Completed,2023-09-18,Published,2024-02-02,Vermont,Addison County,Panton,,Neighborhood Commerical,2023-07-31,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,75.0,Feet,15.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,1.0,Acres per 2-Family,0.5,Units per Acre,75.0,Feet,15.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,1.0,Acres per 3-Family,0.33,Units per Acre,75.0,Feet,15.0,Feet,30.0,Feet,,,,,,,,,Yes,No,,,35.0,Feet,,Ratio,,,,,No,No,1.0,Acres per 4+-Family,0.25,Units per Acre,75.0,Feet,15.0,Feet,30.0,Feet,,,,,,,,,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,1.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,Acres per PRD,1.0,Units per Acre,,,"Parking for 3-5 family homes not specified. Regarding PUDs/PRDs: I'm not sure how to code this. The base density is 1 unit/acre with a minimum lot size of 1 acre, but multiple unit dwellings are permitted on this lot size at a higher density. PUDs are approved at the same density as regular lots, but are given more flexibility as to how to allocate their space. GS

I'm going to ask Emily to weigh in on this. Good question! YB

BH - They don't give the developer much incentive.  The way you have it coded is correct.",,f,f,1.0,0.2,75.0,15.0,30.0,,,,,t,f,,35.0,,,,,1.0,100.0,100.0,100.0,100.0,100.0,f,,t,t,
R10,Completed,2023-08-01,Published,2024-02-02,Vermont,Addison County,Panton,,Residential Agricultural,2023-07-31,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,10.0,Acres,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,10.0,Acres per 2-Family,0.2,Units per Acre,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,10.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,600.0,600.0,,,,f,,t,t,
R2,Completed,2023-08-01,Published,2024-02-02,Vermont,Addison County,Panton,,Residential 2,2023-07-31,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,2.0,Acres,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,2.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,200.0,200.0,,,,f,,t,t,
R5,Completed,2023-08-01,Published,2024-02-02,Vermont,Addison County,Panton,,Residential 5,2023-07-31,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,5.0,Acres,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,90.0,Feet,50.0,Feet,50.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,5.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,400.0,400.0,,,,f,,t,t,
