ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR_UNITS,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
APA,Completed,2024-02-12,Published,2024-02-29,Vermont,Rutland County,Brandon,,Aquifer Protection Area,2023-12-06,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,".5 acre on municipal sewage, 2 acres on private sewage",Alternatives,30; 5/on private street,Contextual,30; 5/side street on private street,Contextual,30.0,Feet,,,25,Percent,,,,,36,Feet,,,,,No,No,0.5,Acres per 2-Family,,,30; 5/side street on private street,Contextual,30; 5/on private street,Contextual,30.0,Feet,,,25,Percent,,,,,,,36,Feet,,,,,No,No,".5 acre on municipal sewage, 2 acres on private sewage",Contextual,,,30; 5/on private street,Contextual,30; 5/side street on private street,Contextual,30.0,Feet,,,25,Percent,,,,,No,No,,,36,Feet,,,,,,,No,No,".5 acre on municipal sewage, 2 acres on private sewage",Alternatives,,,30; 5/on private street,Contextual,30; 5/side street on private street,Contextual,30.0,Feet,,,25,Percent,,,,,No,No,,,36,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum Setbacks in Neighborhood Residential Districts:

Primary Structure from Town or State Right of Way: 20 Feet
Primary Structure from Private Right of Way or Private Road: 5 Feet
Primary Structure from Other Lot Lines: 20 Feet
Driveway/Parking Lot from Other Lot Lines: 5 Feet",f,f,0.5,,,,,,,,,f,f,,36.0,,,,,,,,,,,,,,,
CBD,Completed,2024-02-09,Published,2024-02-29,Vermont,Rutland County,Brandon,,Central Business District,2023-12-06,,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Public Hearing,Public Hearing,0.02,Acres,,,,,,,,,100,Percent,,,,,36,Feet,,,,,No,No,0.02,Acres per 2-Family,,,,,,,,,,,100,Percent,,,,,,,36,Feet,,,,,No,No,0.02,Acres per 3-Family,,,,,,,,,,,100,Percent,,,,,Yes,No,,,36,Feet,,,,,,,No,No,0.02,Acres per 4+-Family,,,,,,,,,,,100,Percent,,,,,Yes,No,,,36,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Dwelling units in the Central Business District
(1) are allowed as conditional uses on all non-street-level floors;
(2) are allowed as conditional uses at the street level provided that no more than 50% of the floor
area at street level is used for residential purposes and that storefronts are maintained.

Maximum Number of Allowable Dwelling Units per Structure shall not exceed the rounded-up result
obtained by dividing the total number of square feet devoted to dwelling units and associated common
areas by 800. (See Section 324 for density exception.)

ADUs require sufficient wastewater capacity",f,f,0.02,,,,,,100.0,,,t,f,,36.0,,,,,,,,,,,,,,,
HDMU,Completed,2024-02-12,Published,2024-02-29,Vermont,Rutland County,Brandon,,High Density Multi-Use,2023-12-06,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30.0,Feet,,,40,Percent,,,,,36,Feet,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30.0,Feet,,,40,Percent,,,,,,,36,Feet,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30.0,Contextual,,,40,Percent,,,,,No,No,,,36,Feet,,,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;15 for private rd,Contextual,30.0,Feet,,,40,Percent,,,,,No,No,,,36,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"Setbacks based on table on page 14 of bylaws
- not specified which direction the setbacks apply

Minimum acres per dwelling unit is 1/8 acre
",,f,f,,,,,,,40.0,,,f,f,,36.0,,,,,,,,,,,,,,,
NR,Completed,2024-02-09,Published,2024-02-29,Vermont,Rutland County,Brandon,,Neighborhood Residential,2023-12-06,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,20; 5/on private street,Contextual,20; 5/side street on private street,Contextual,20.0,Feet,,,40,Percent,,,,,36,Feet,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,20; 5/on private street,Contextual,20; 5/side street on private street,Contextual,20.0,Feet,,,40,Percent,,,,,,,36,Feet,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,20; 5/on private street,Contextual,20; 5/side street on private street,Contextual,20.0,Feet,,,40,Percent,,,,,No,No,,,36,Feet,,,,,,,No,No,"1/4 acre on municipal sewage, 2 acres on private sewage",Contextual,,,20; 5/on private street,Contextual,20; 5/side street on private street,Contextual,20.0,Feet,,,40,Percent,,,,,No,No,,,36,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Setbacks based on table on page 15 of bylaws
- not specified which direction the setbacks apply

Minimum acres per dwelling unit is 1/4 acre

Mobile home parks conditional (public hearing), no PRD use mentioned",f,f,,,,,,,40.0,,,f,f,,36.0,,,,,,,,,,,,,,,
RD,Completed,2024-02-09,Published,2024-02-29,Vermont,Rutland County,Brandon,,Rural Development,2023-12-06,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2,Acres,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30.0,Feet,,,30,Percent,,,,,36,Feet,,,,,No,No,2,Acres per 2-Family,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30.0,Feet,,,30,Percent,,,,,,,36,Feet,,,,,No,No,2,Acres per 3-Family,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30.0,Contextual,,,30,Percent,,,,,No,No,,,36,Feet,,,,,,,No,No,2,Acres per 4+-Family,,,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30 Feet if Speed Limit <30 mph;60 if 30 to 40;100 if >40;5 for private rd,Contextual,30.0,Feet,,,30,Percent,,,,,No,No,,,36,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"Setbacks based on table on page 14 of bylaws
- not specified which direction the setbacks apply

Minimum acres per dwelling unit is 2 acres",,f,f,2.0,,,,,,30.0,,,f,f,36.0,,,,,,,,,,,,,,,,
