ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR_UNITS,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
CD,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Salisbury,,Commercial,2023-08-01,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,3.0,Acres,Rt7 50'; public road 35'; private road 20',Contextual,25ft; 75 at district edge,Contextual,25ft; 75 at district edge,Contextual,,,25% and not more than 50% of any acre,Contextual,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,6.0,Acres per 2-Family,0.33,Units per Acre,Rt7 50'; public road 35'; private road 20',Contextual,25ft; 75 at district edge,Contextual,25ft; 75 at district edge,Contextual,,,25% and not more than 50% of any acre,Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,9.0,Acres per 3-Family,0.33,Units per Acre,Rt7 50'; public road 35'; private road 20',Contextual,25ft; 75 at district edge,Contextual,25ft; 75 at district edge,Contextual,,,25% and not more than 50% of any acre,Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,12.0,Acres per 4+-Family,0.33,Units per Acre,Rt7 50'; public road 35'; private road 20',Contextual,25ft; 75 at district edge,Contextual,25ft; 75 at district edge,Contextual,,,25% and not more than 50% of any acre,Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,3.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Minimum lot depth 300'.,f,f,15.0,0.33,50.0,25.0,25.0,,25.0,2.0,2.0,f,f,,35.0,,,,,0.33,200.0,200.0,200.0,200.0,200.0,f,,t,t,
CON,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Conservation,2023-08-01,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,25.0,Acres,40; private road 20',Contextual,200,Feet,200,Feet,,,1,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,50.0,Acres per 2-Family,0.04,Units per Acre,40; private road 20',Contextual,200,Feet,200,Feet,,,1,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,25.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,,,,,,"Minimum lot depth 400'. Maximum building size 10,000 sf.",,,,,,,,,,,,,,,,,,,,0.04,400.0,400.0,,,,,,t,t,
FHO,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Flood Hazard Overlay Areas,2023-08-01,,Yes,No,Yes,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district is comprised of ""Zone A"" areas on sheets 5, 10, 15, and 20 of the FEMA FIRMs from November 1 1985.",,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
FOR,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Forest,2023-08-01,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,10.0,Acres,40; private road 20',Contextual,200,Feet,200,Feet,,,2,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,20.0,Acres per 2-Family,0.1,Units per Acre,40; private road 20',Contextual,200,Feet,200,Feet,,,35,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,10.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Minimum lot depth 400'.,,,,,,,,,,,,,,,,,,,,0.1,200.0,200.0,,,,f,,f,,
HDR,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,High Density Residential,2023-08-01,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.92,Acres,35; Rt 7 50'; private road 20',Contextual,15,Feet,15,Feet,,,50,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,1.84,Acres per 2-Family,1.01,Units per Acre,35; Rt 7 50'; private road 20',Contextual,15,Feet,15,Feet,,,50,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,2.76,Acres per 3-Family,1.01,Units per Acre,35; Rt 7 50'; private road 20',Contextual,15,Feet,15,Feet,,,50,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,3.68,Acres per 4+-Family,1.01,Units per Acre,35; Rt 7 50'; private road 20',Contextual,15,Feet,15,Feet,,,50,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.96,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,,,,,"Because the setbacks are dependent on road type, you can select from the ""Units/Special"" drop-down menu for each setback ""Contextual"" and keep the Notes as it.

Are all the setback dependent or only the front setback? YB
Only the front setback! GS

","Minimum lot depth: 125ft.
ADU size limit is whichever is larger.",f,f,4.6,1.01,35.0,15.0,15.0,,50.0,2.0,2.0,f,f,,35.0,,,,,1.01,70.0,70.0,70.0,70.0,70.0,f,,t,t,
LDR,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Low Density Residential,2023-08-01,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.0,Acres,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,4.0,Acres per 2-Family,0.5,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,6.0,Acres per 3-Family,0.5,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,8.0,Acres per 4+-Family,0.5,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,2.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,0.5,Units per Acre,,,"Which setbacks are dependent on road type? All rear/front/side setbacks for all treatments? And what is the context for 25 ft - anything that is not a public road, private road, or Route 7? YB","Minimum lot depth: 200ft.
ADU size limit is whichever is larger.
PUDs in the 'Plains' subdistrict may qualify for a 2:1 density bonus.",t,f,10.0,0.5,40.0,25.0,25.0,,25.0,2.0,2.0,f,f,,35.0,,,,,0.5,200.0,200.0,200.0,200.0,200.0,f,,t,t,
LS1,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Lake Shore 1,2023-08-01,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,35; private road 20'; public road within 100' of lake R.O.W edge,Contextual,15; lakeshore 25,Contextual,15; lakeshore 25,Contextual,,,20,Percent,2.0,Spaces per Unit,,,25.0,Feet,,,,,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,35; private road 20'; public road within 100' of lake R.O.W edge,Contextual,15; lakeshore 25,Contextual,15; lakeshore 25,Contextual,,,20,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,25.0,Feet,,,,,No,No,3.0,Acres per 3-Family,1.0,Units per Acre,35; private road 20'; public road within 100' of lake R.O.W edge,Contextual,15; lakeshore 25,Contextual,15; lakeshore 25,Contextual,,,20,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,25.0,Feet,,,,,,,No,No,4.0,Acres per 4+-Family,1.0,Units per Acre,35; private road 20'; public road within 100' of lake R.O.W edge,Contextual,15; lakeshore 25,Contextual,15; lakeshore 25,Contextual,,,20,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,25.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,1.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,This information has been approved by the Salisbury zoning administrator.,Lake Shore 1 consists of the area from mean high water outward for 150ft. There is a minimum lot depth of 200ft. C=Land clearing or the creation of any impervious surfaces within 250ft of the mean high water line requires a permit.,,,,,,,,,,,,,,,,,,,,1.0,200.0,200.0,200.0,200.0,,f,,f,,
LS2,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Lake Shore 2,2023-08-01,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.0,Acres,40; private road 20',Contextual,25,Feet,25,Feet,,,"25%, 20% within 250' of lake",Contextual,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,4.0,Acres per 2-Family,0.5,Units per Acre,40; private road 20',Contextual,25,Feet,25,Feet,,,"25%, 20% within 250' of lake",Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,6.0,Acres per 3-Family,0.5,Units per Acre,40; private road 20',Contextual,25,Feet,25,Feet,,,"25%, 20% within 250' of lake",Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,8.0,Acres per 4+-Family,0.5,Units per Acre,40; private road 20',Contextual,25,Feet,25,Feet,,,"25%, 20% within 250' of lake",Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,2.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,600.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Lake Shore 2 surrounds Lake Shore 1, extending between 500-950 ft depending on the location. Land clearing or creating of impervious surfaces within 250' of the mean high water line requires a permit. The minimum lot depth is 200ft.",,,,,,,,,,,,,,,,,,,,0.5,200.0,200.0,200.0,200.0,,f,,f,,
MDR,Completed,2023-08-02,Published,2024-02-02,Vermont,Addison County,Salisbury,,Medium Density Residential,2023-08-01,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,3.0,Acres per 3-Family,1.0,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,4.0,Acres per 4+-Family,1.0,Units per Acre,40; Rt.7 50'; private road 20',Contextual,25,Feet,25,Feet,,,25,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,1.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,60.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,,,,,,"Minimum lot depth: 200 ft.
ADU size limit is whichever is larger. 
PUDs that qualify as affordable housing are eligible for a 2:1 density bonus for affordable housing PUD.",f,f,5.0,1.0,40.0,25.0,25.0,,25.0,2.0,2.0,f,f,,35.0,,,,,1.0,100.0,100.0,100.0,100.0,100.0,f,,t,t,
